picture,city,ratings,ratingsby,details
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSOkCMpKmkGzTrdBP5HSzS7ou_DXdqi941_H7vnjvgRbUrGLUaPAQo2m28MnYabwlZDnsS87uVPBYDTvJuE0XXtjA,Bagh Ibn-e-Qasim,4.2,"(3,307)",Iconic city park with gardens & walkways
https://lh5.googleusercontent.com/p/AF1QipO9pSKo51d2UAWcPdrjwvyMmBbO92CvRy4vfvQ-=w464-h260-n-k-no,The Great Fiesta Family Water Park,4.3,"(1,999)",Water park
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRt1xlK4UHM2fe4U9qm1MSO5dmcXPNgV26H94_d1LtqRPZJWTdnzxq0TP90LPAJ9S-hgv4LqUPkUy7OAYhQf322Vg,Sea View Road,,,"Beach, camels, and fishing"
https://lh5.googleusercontent.com/p/AF1QipM0V2OUyv-e4Nvm8gs-kcTlvb6EryYulkw02QoX=w464-h260-n-k-no,Wazir Mansion ( Quaid-e-Azam Birth Place),4.5,(796),Colorful mansion with a storied history
https://lh5.googleusercontent.com/p/AF1QipPRMUNPtr5WM3DBiDXvWlmb-4BWOvBpeLBxwZy2=w464-h260-n-k-no,Hub Dam,,,"Canal, reservoir, river, and fishing"
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQQPqGyOAUK5CPt8EKzxNKvGP90x4OaIyyfcET2xkOKbs56i9W7BkUH2M5zZjkZRtqto1bmbMiN0x05VNYFyMalmA,Hill Park,4.0,"(2,788)",Park
https://lh5.googleusercontent.com/p/AF1QipMyvi0Po10tij7UICIf1OpMfO7FWr8aA95KI2xx=w464-h260-n-k-no,Askari Amusement Park,3.9,"(5,812)",Amusement park
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSOqDc5K0W8ZsmtGGJqEuxfAZ2Ll1lPD_N5BTllA7FL66mPWfFPgN6BWe3N4WdCR-60Mkq2qH44Rhx-OOlgweBGHQ,Unknown,4.5,(50),19th-century Gothic Revival clock tower
https://lh5.googleusercontent.com/p/AF1QipMqZw-vGSX8Jj8khmjfjZqeo2pRvpbGlHjnfK4w=w464-h260-n-k-no,Zainab Market,,,
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcS4QD1PaU39s0GxEGARkRe3vCusDWMZLr4MSLjUTJLuiVJUASOemk_Go0SSvFqPcMNYm3vU_9G4x12Ia7GGBQHawA,Habib Bank Plaza,,,Architecture
https://lh5.googleusercontent.com/p/AF1QipOT9-LI4Cz9nIx-3MPyRUf2HdUSSm9CrYhVOwJ5=w464-h260-n-k-no,Koel Gallery,4.3,(18),Art
https://lh5.googleusercontent.com/p/AF1QipMjtMgCRLZMolCNNpj9FyqCcLnXg8tp3IjlTfsB=w464-h260-n-k-no,State Bank Museum & Art Gallery,4.7,(245),Museum
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTOlRJh_X6dcpnOix6tdQzZgbHzQKW5OJaQ74vqYo2cTet64oBgQK3e6GPBBNngG-pPuANSqntb9HH2VjLST7jX1w,Manora Beach,4.5,(136),Beach
https://lh5.googleusercontent.com/p/AF1QipMBCUq95PfJxCEwYDRpMdaHQ1zajQvXIehDXzBS=w464-h260-n-k-no,Chawkandi Art Gallery,4.1,(37),Art and art museum
https://lh5.googleusercontent.com/p/AF1QipMGZ7B9X8jfjyt9ARVgAwGeAowoTQ3FoKjRuUNg=w464-h260-n-k-no,Karachi Beach Hut # A-55 Turtle Beach,4.2,(111),Beach
https://lh5.googleusercontent.com/p/AF1QipMKMUGbYiZVOqF1feXbpd_1F7QZThd0eEDanXkC=w464-h260-n-k-no,Bahria Adventure Land Theme Park,4.5,"(2,201)",Park
https://lh5.googleusercontent.com/p/AF1QipOZRz4gJquFIza-GEvojWbyQXGCY1G0b8jbP8DF=w464-h260-n-k-no,FindMyAdventure,4.7,(71),Honeymoon and romance
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcT2iedbKOcuAUg0EQnbdDnfofu0MssxUhu0YaRzRyjQNCYvBr9ozPus-7qmjvLJJqnsPAbkjvOJtgSqdFVXYMa0uA,"Paradise Point, Pakistan",4.4,(205),Scenic area with rock point & recreation
https://lh5.googleusercontent.com/p/AF1QipOnjSr79EbJ_WQoQLUaVr5Aus7AsmAhSntbRER5=w464-h260-n-k-no,Hilal Park,4.4,"(3,170)",Park
https://lh5.googleusercontent.com/p/AF1QipO3viIr1iO2EOqXV0hL3c1m_ayYRGoj5YqdbB0=w464-h260-n-k-no,Sindbad Amusement park,4.3,(699),
https://lh5.googleusercontent.com/p/AF1QipNyNIB9b_g316VTEuIy_J2Z86V_dKiXl4f73Epl=w464-h260-n-k-no,Ocean Towers,,,Architecture
https://lh5.googleusercontent.com/p/AF1QipMsG-Q0PvLPEG3XtLTWdDF3ubpwhvpGyKNL0Hjf=w464-h260-n-k-no,Picnic World Water Park,3.9,(709),Water park and park
https://lh5.googleusercontent.com/p/AF1QipNEiFq3xfhDY5iN7TIxr9_yYvyIWfDSV8DnL5M8=w464-h260-n-k-no,Boat Basin,4.4,(844),
https://lh5.googleusercontent.com/p/AF1QipOf2f5UBogU5qb3BjJ9Xo3g-O0qHPQtJXXPYVAF=w464-h260-n-k-no,Grand Jamia Masjid,4.7,(281),Architecture
https://lh5.googleusercontent.com/p/AF1QipOB_XOUgy5E43ipF-ciuM8cNzmyrubTOC2gbsI1=w464-h260-n-k-no,Toilet Danzoo,,,
https://lh5.googleusercontent.com/p/AF1QipMYd-fLd2R6_yLDf2EqsRyBoibD37jwJqFy_-7h=w464-h260-n-k-no,Sindbad's Wonderland,4.2,"(3,993)",
https://lh5.googleusercontent.com/p/AF1QipNlgM0l0GBTqQZDzOPPge5_DO8bVevykCiperM6=w464-h260-n-k-no,Arena - Sports & Family Recreational Complex,4.3,"(8,807)",Ice skating
https://lh5.googleusercontent.com/p/AF1QipO8iZ5dwdqeO4XrIuleMPij1sl6kbtGYTxjO6UR=w464-h260-n-k-no,Zamzama Park,4.3,"(5,464)",Park
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQG75HPTsztysC4v4SzgGJkONo3DJqRdNDH5-ZBUjJximwb81tioFXdp-GmAjm5O-zswXSX2l7ZF3VSeF1gDCnEOw,Jehangir Kothari Parade,4.4,(138),History and architecture
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRFi2zXNDStGh-RiStnllkKSCeoGaEaO4aD4IAsrMbL_zEqtVkJtaXPIXVcESMlfbbgM_PFX4ng9x2k6aK55-eD5Q,Sea view beach,4.2,(125),
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSyJ5zd8xQImTJeKKq0rX6rsycpnsoSelfWn8lgxVdyGfKU2cY1wAoXJTKYHdcjdEI5wM_s6CNEN5DPNKn3HvK1KA,Cape Mount,4.5,(82),Beach and lighthouse
https://lh5.googleusercontent.com/p/AF1QipMntPUYmHmcXU7fPVl3DZsE-FMp30zwhVVh7HNI=w464-h260-n-k-no,Arabian Sea Country Club,3.9,"(1,254)",Country club and golf
https://lh5.googleusercontent.com/p/AF1QipNO56bqtVHe12AdMRlxCGPrUGQdPgE55FO_28SN=w464-h260-n-k-no,Canvas Gallery,4.4,(102),Art
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS23V6tz8ogwMLysXPSl6N7lHqhwkpWdtjp3-vQ7nQSQeqLouaq3bF5ezC7ov4DqvYZeMPRj0vuj1HnMC5iHza2mg,Winter Land,4.5,(267),
https://lh5.googleusercontent.com/p/AF1QipPYRJFuW_xW1wDxLlBjxhLNDyNFYiypM4Dckhd9=w464-h260-n-k-no,Super Space Karachi سوپر اسپیس کراچی,4.4,"(1,145)",Park
https://lh5.googleusercontent.com/p/AF1QipP5vChc9RfwhOYHOywabEOKHen_CPeP46bHBXhz=w464-h260-n-k-no,Bahria Adventure Land,4.9,(15),
https://lh5.googleusercontent.com/p/AF1QipMHnlm7eMNBQQ2q5JKahsQ72v1I3r2--zkjuzdC=w464-h260-n-k-no,Chunky Monkey Amusement Parks,3.8,"(2,370)",Amusement park
https://lh5.googleusercontent.com/p/AF1QipNjDbC5cUfg-_fX6T2vAu2ayt5j3S1EulC9Zgek=w464-h260-n-k-no,Khirthar National Park,4.3,(823),Park and wildlife
https://lh5.googleusercontent.com/p/AF1QipODZngv6IjCJ6i41Q783IXWnwtcsPypdkX6Z8ir=w464-h260-n-k-no,Teen Talwar,4.4,"(11,099)",History
https://lh5.googleusercontent.com/p/AF1QipM17K7VHZnhG-RNXOlxV5oZh2DQ00deJBy1pBGl=w464-h260-n-k-no,Cosy Water Park,3.9,(618),Water park
https://lh5.googleusercontent.com/p/AF1QipMYqp0aa1B94JrzRnraLb4Wj6L4lIAFplMeTXY1=w464-h260-n-k-no,Tushan Beach,4.6,(135),Beach
https://lh5.googleusercontent.com/p/AF1QipNBMVKSVff9KQtNZNWXtLjkD8iDW0dOc0uOId4M=w464-h260-n-k-no,Wild Venture Water Park and Resort Gadap Karachi,4.3,(649),Water park
https://lh5.googleusercontent.com/p/AF1QipMIgU5yClkzOT3D08-PSesS1_S_hOWoRbW1qsA8=w464-h260-n-k-no,Jahangir Park,4.3,"(5,200)",
https://lh5.googleusercontent.com/p/AF1QipP940GpT3Ib9M8sDNFJfJBMKkEsTIGXNzHdAW8j=w464-h260-n-k-no,Shaheed Benazir Bhutto Park,3.7,"(3,265)",Park
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTIBsyqjbuUea8t8PbruVu72n5ZcgrS8JQVfucnx7U1-Un-YfHtozFN5R-1e9XSLsoxKgHoT09pwJ9hFxzMaD-hpA,Karachi Golf Club,4.4,"(1,683)",Golf
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQUo_NtBxWGkH3u2X_vSGq_TiIYG3e5Wtm517mZA-JJysmTpp_ZHitJtup38btSldw88rSkoVKfJlrOE9NL6oAWSw,Denso Hall,,,Architecture
https://lh5.googleusercontent.com/p/AF1QipM04s00B6qLGMEQgMmnUGRcH7Zog8AwyX3yMv7z=w464-h260-n-k-no,Burhani Recreational Park,4.3,(442),Water park
https://lh5.googleusercontent.com/p/AF1QipOb5flpWqAjd7N8bgT9HJM27LIEEytN3xOCHiLq=w464-h260-n-k-no,A.K.Khan Park,4.2,"(3,268)",
https://lh5.googleusercontent.com/p/AF1QipNNOL0ILVdtkyzaHmjiF1nkT_VRLJZKQ13IVBn9=w464-h260-n-k-no,Varun Dev Temple,4.5,(94),Temple and history
https://lh5.googleusercontent.com/p/AF1QipPajjcZTc9m2Gl2eSo1DU2_PdrLDO5EkHbVjG_o=w464-h260-n-k-no,Pakistan Chowk Community Centre (PCCC),4.2,"(2,512)",Art and architecture
https://lh5.googleusercontent.com/p/AF1QipNqGrZjiMPgopnIYV-f-GH_Rqoaf29aHV2iLhZC=w464-h260-n-k-no,Aziz Bhatti Park,3.8,"(2,370)",Park
https://lh5.googleusercontent.com/p/AF1QipOgb5QTDLQPS6s9xiio-_aND6pa4IyfsmRiLdIj=w464-h260-n-k-no,Amin Gulgee Gallery,4.5,(15),
https://lh5.googleusercontent.com/p/AF1QipMIuHW1LwWc9D3XVXgshX8WVyOU-PuiAzbkgBWO=w464-h260-n-k-no,Hawksbay Resort,4.3,(210),
https://lh5.googleusercontent.com/p/AF1QipMXlYWYXmH_oYOJB4pMnnOwJs3stgJv4nxapER6=w464-h260-n-k-no,Maritime Museum,4.4,"(2,613)",Maritime museum
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcS0QVlZKveogLiDoyo67GYNHw_Yif3K4QHFQkEVsSqgbxk7WWlCRMu09YmO-iXTisnbxHqXTDZuT8q_hSACsnnTjA,Karachi Port Trust Building,,,
